Time,Height
9/24/2022 18:00,-0.079
9/24/2022 18:01,-0.084
9/24/2022 18:02,-0.089
9/24/2022 18:03,-0.093
9/24/2022 18:04,-0.098
9/24/2022 18:05,-0.103
9/24/2022 18:06,-0.107
9/24/2022 18:07,-0.112
9/24/2022 18:08,-0.117
9/24/2022 18:09,-0.121
9/24/2022 18:10,-0.126
9/24/2022 18:11,-0.13
9/24/2022 18:12,-0.135
9/24/2022 18:13,-0.139
9/24/2022 18:14,-0.144
9/24/2022 18:15,-0.148
9/24/2022 18:16,-0.152
9/24/2022 18:17,-0.157
9/24/2022 18:18,-0.161
9/24/2022 18:19,-0.166
9/24/2022 18:20,-0.17
9/24/2022 18:21,-0.174
9/24/2022 18:22,-0.178
9/24/2022 18:23,-0.182
9/24/2022 18:24,-0.187
9/24/2022 18:25,-0.191
9/24/2022 18:26,-0.195
9/24/2022 18:27,-0.199
9/24/2022 18:28,-0.203
9/24/2022 18:29,-0.207
9/24/2022 18:30,-0.211
9/24/2022 18:31,-0.215
9/24/2022 18:32,-0.219
9/24/2022 18:33,-0.223
9/24/2022 18:34,-0.227
9/24/2022 18:35,-0.231
9/24/2022 18:36,-0.235
9/24/2022 18:37,-0.239
9/24/2022 18:38,-0.243
9/24/2022 18:39,-0.247
9/24/2022 18:40,-0.251
9/24/2022 18:41,-0.255
9/24/2022 18:42,-0.259
9/24/2022 18:43,-0.263
9/24/2022 18:44,-0.267
9/24/2022 18:45,-0.271
9/24/2022 18:46,-0.276
9/24/2022 18:47,-0.28
9/24/2022 18:48,-0.284
9/24/2022 18:49,-0.288
9/24/2022 18:50,-0.292
9/24/2022 18:51,-0.296
9/24/2022 18:52,-0.3
9/24/2022 18:53,-0.304
9/24/2022 18:54,-0.308
9/24/2022 18:55,-0.312
9/24/2022 18:56,-0.316
9/24/2022 18:57,-0.32
9/24/2022 18:58,-0.324
9/24/2022 18:59,-0.328
9/24/2022 19:00,-0.332
9/24/2022 19:01,-0.336
9/24/2022 19:02,-0.34
9/24/2022 19:03,-0.344
9/24/2022 19:04,-0.347
9/24/2022 19:05,-0.351
9/24/2022 19:06,-0.355
9/24/2022 19:07,-0.358
9/24/2022 19:08,-0.362
9/24/2022 19:09,-0.365
9/24/2022 19:10,-0.368
9/24/2022 19:11,-0.372
9/24/2022 19:12,-0.375
9/24/2022 19:13,-0.378
9/24/2022 19:14,-0.381
9/24/2022 19:15,-0.384
9/24/2022 19:16,-0.387
9/24/2022 19:17,-0.39
9/24/2022 19:18,-0.393
9/24/2022 19:19,-0.396
9/24/2022 19:20,-0.398
9/24/2022 19:21,-0.401
9/24/2022 19:22,-0.404
9/24/2022 19:23,-0.406
9/24/2022 19:24,-0.408
9/24/2022 19:25,-0.411
9/24/2022 19:26,-0.413
9/24/2022 19:27,-0.415
9/24/2022 19:28,-0.418
9/24/2022 19:29,-0.42
9/24/2022 19:30,-0.422
9/24/2022 19:31,-0.424
9/24/2022 19:32,-0.426
9/24/2022 19:33,-0.428
9/24/2022 19:34,-0.43
9/24/2022 19:35,-0.432
9/24/2022 19:36,-0.434
9/24/2022 19:37,-0.436
9/24/2022 19:38,-0.438
9/24/2022 19:39,-0.44
9/24/2022 19:40,-0.442
9/24/2022 19:41,-0.444
9/24/2022 19:42,-0.446
9/24/2022 19:43,-0.448
9/24/2022 19:44,-0.45
9/24/2022 19:45,-0.453
9/24/2022 19:46,-0.455
9/24/2022 19:47,-0.457
9/24/2022 19:48,-0.459
9/24/2022 19:49,-0.461
9/24/2022 19:50,-0.463
9/24/2022 19:51,-0.465
9/24/2022 19:52,-0.467
9/24/2022 19:53,-0.469
9/24/2022 19:54,-0.471
9/24/2022 19:55,-0.473
9/24/2022 19:56,-0.475
9/24/2022 19:57,-0.477
9/24/2022 19:58,-0.479
9/24/2022 19:59,-0.481
9/24/2022 20:00,-0.483
9/24/2022 20:01,-0.485
9/24/2022 20:02,-0.487
9/24/2022 20:03,-0.489
9/24/2022 20:04,-0.491
9/24/2022 20:05,-0.492
9/24/2022 20:06,-0.494
9/24/2022 20:07,-0.495
9/24/2022 20:08,-0.497
9/24/2022 20:09,-0.498
9/24/2022 20:10,-0.499
9/24/2022 20:11,-0.5
9/24/2022 20:12,-0.501
9/24/2022 20:13,-0.502
9/24/2022 20:14,-0.503
9/24/2022 20:15,-0.504
9/24/2022 20:16,-0.504
9/24/2022 20:17,-0.505
9/24/2022 20:18,-0.505
9/24/2022 20:19,-0.506
9/24/2022 20:20,-0.506
9/24/2022 20:21,-0.506
9/24/2022 20:22,-0.507
9/24/2022 20:23,-0.507
9/24/2022 20:24,-0.507
9/24/2022 20:25,-0.506
9/24/2022 20:26,-0.506
9/24/2022 20:27,-0.506
9/24/2022 20:28,-0.506
9/24/2022 20:29,-0.505
9/24/2022 20:30,-0.504
9/24/2022 20:31,-0.504
9/24/2022 20:32,-0.503
9/24/2022 20:33,-0.503
9/24/2022 20:34,-0.502
9/24/2022 20:35,-0.502
9/24/2022 20:36,-0.501
9/24/2022 20:37,-0.501
9/24/2022 20:38,-0.5
9/24/2022 20:39,-0.5
9/24/2022 20:40,-0.499
9/24/2022 20:41,-0.498
9/24/2022 20:42,-0.498
9/24/2022 20:43,-0.497
9/24/2022 20:44,-0.497
9/24/2022 20:45,-0.496
9/24/2022 20:46,-0.496
9/24/2022 20:47,-0.495
9/24/2022 20:48,-0.495
9/24/2022 20:49,-0.494
9/24/2022 20:50,-0.493
9/24/2022 20:51,-0.493
9/24/2022 20:52,-0.492
9/24/2022 20:53,-0.492
9/24/2022 20:54,-0.491
9/24/2022 20:55,-0.491
9/24/2022 20:56,-0.49
9/24/2022 20:57,-0.49
9/24/2022 20:58,-0.489
9/24/2022 20:59,-0.489
9/24/2022 21:00,-0.488
9/24/2022 21:01,-0.487
9/24/2022 21:02,-0.487
9/24/2022 21:03,-0.486
9/24/2022 21:04,-0.485
9/24/2022 21:05,-0.484
9/24/2022 21:06,-0.483
9/24/2022 21:07,-0.482
9/24/2022 21:08,-0.481
9/24/2022 21:09,-0.479
9/24/2022 21:10,-0.478
9/24/2022 21:11,-0.477
9/24/2022 21:12,-0.475
9/24/2022 21:13,-0.473
9/24/2022 21:14,-0.472
9/24/2022 21:15,-0.47
9/24/2022 21:16,-0.468
9/24/2022 21:17,-0.466
9/24/2022 21:18,-0.464
9/24/2022 21:19,-0.462
9/24/2022 21:20,-0.46
9/24/2022 21:21,-0.457
9/24/2022 21:22,-0.455
9/24/2022 21:23,-0.452
9/24/2022 21:24,-0.45
9/24/2022 21:25,-0.447
9/24/2022 21:26,-0.444
9/24/2022 21:27,-0.442
9/24/2022 21:28,-0.439
9/24/2022 21:29,-0.436
9/24/2022 21:30,-0.433
9/24/2022 21:31,-0.43
9/24/2022 21:32,-0.427
9/24/2022 21:33,-0.424
9/24/2022 21:34,-0.421
9/24/2022 21:35,-0.417
9/24/2022 21:36,-0.414
9/24/2022 21:37,-0.411
9/24/2022 21:38,-0.408
9/24/2022 21:39,-0.405
9/24/2022 21:40,-0.402
9/24/2022 21:41,-0.399
9/24/2022 21:42,-0.396
9/24/2022 21:43,-0.393
9/24/2022 21:44,-0.39
